GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-coverage-aggregate-report/ride,com.modsen.ride.config,DriverClientConfig,0,7,0,0,0,2,0,2,0,2
jacoco-coverage-aggregate-report/ride,com.modsen.ride.config,KafkaConsumerConfig,0,55,0,0,0,9,0,5,0,5
jacoco-coverage-aggregate-report/ride,com.modsen.ride.config,KafkaProducerConfig,0,75,0,0,0,17,0,10,0,10
jacoco-coverage-aggregate-report/ride,com.modsen.ride.config,MessageLocalizationConfig,0,15,0,0,0,5,0,2,0,2
jacoco-coverage-aggregate-report/ride,com.modsen.ride.config,TopicConfig,0,15,0,0,0,10,0,4,0,4
jacoco-coverage-aggregate-report/ride,com.modsen.ride.config,FeignHttpClientConfig,0,7,0,0,0,2,0,2,0,2
jacoco-coverage-aggregate-report/ride,com.modsen.ride,RideApplication,5,3,0,0,2,1,1,1,1,1
jacoco-coverage-aggregate-report/ride,com.modsen.ride.service.impl,RideServiceImpl,32,242,1,3,7,46,3,15,2,14
jacoco-coverage-aggregate-report/ride,com.modsen.ride.service.impl,FakeCostCalculator,0,34,0,0,0,6,0,3,0,3
jacoco-coverage-aggregate-report/ride,com.modsen.ride.controller,RideController,47,31,0,0,11,6,5,3,5,3
jacoco-coverage-aggregate-report/ride,com.modsen.ride.service.client,DriverClientErrorDecoder,15,13,1,1,1,3,1,2,0,2
jacoco-coverage-aggregate-report/ride,com.modsen.ride.exception,WaitingRideNotFoundException,0,13,0,0,0,2,0,1,0,1
jacoco-coverage-aggregate-report/ride,com.modsen.ride.exception,RideNotFoundException,0,13,0,0,0,2,0,1,0,1
jacoco-coverage-aggregate-report/ride,com.modsen.ride.exception,DriverNotAvailableException,17,0,0,0,2,0,1,0,1,0
jacoco-coverage-aggregate-report/ride,com.modsen.ride.exception,BaseException,6,10,0,0,2,4,2,1,2,1
jacoco-coverage-aggregate-report/ride,com.modsen.ride.exception,PaymentFailedException,9,0,0,0,2,0,1,0,1,0
jacoco-coverage-aggregate-report/ride,com.modsen.ride.exception,RideAlreadyEndedException,0,13,0,0,0,2,0,1,0,1
jacoco-coverage-aggregate-report/ride,com.modsen.ride.exception,GlobalExceptionHandler,67,48,0,0,17,13,3,4,3,4
jacoco-coverage-aggregate-report/ride,com.modsen.ride.mapper,RideMapperImpl,8,115,4,4,4,33,4,5,0,5
jacoco-coverage-aggregate-report/driver,com.modsen.driver.service.impl,DriverServiceImpl,0,135,0,0,0,26,0,11,0,11
jacoco-coverage-aggregate-report/driver,com.modsen.driver.service.impl,FakeDriverNotifier,17,6,0,0,5,1,3,1,3,1
jacoco-coverage-aggregate-report/driver,com.modsen.driver,DriverApplication,5,3,0,0,2,1,1,1,1,1
jacoco-coverage-aggregate-report/driver,com.modsen.driver.controller,DriverController,0,51,0,0,0,15,0,6,0,6
jacoco-coverage-aggregate-report/driver,com.modsen.driver.exception,GlobalExceptionHandler,12,61,0,0,4,16,1,4,1,4
jacoco-coverage-aggregate-report/driver,com.modsen.driver.exception,DriverNotFoundException,0,13,0,0,0,2,0,1,0,1
jacoco-coverage-aggregate-report/driver,com.modsen.driver.exception,BaseException,0,16,0,0,0,6,0,3,0,3
jacoco-coverage-aggregate-report/driver,com.modsen.driver.exception,PhoneNumberAlreadyExistsException,0,13,0,0,0,2,0,1,0,1
